分期类型,分期,定义标准,临床意义
G分期(基于eGFR),G1,$eGFR \geqslant 90\ mL/(min·1.73m^{2})$,"肾功能正常或增高。即使eGFR正常,若有肾脏损伤标志(如白蛋白尿、结构异常等)仍可诊断为CKD"
G2,$eGFR\ 60 \sim <90\ mL/(min·1.73m^{2})$,"肾功能轻度下降。常提示轻度肾脏损伤,需关注风险因素",
G3a,$eGFR\ 45 \sim <60\ mL/(min·1.73m^{2})$,肾功能轻-中度下降。开始需要更密切地监测和管理并发症,
G3b,$eGFR\ 30 \sim <45\ mL/(min·1.73m^{2})$,"肾功能中-重度下降。显著增加心血管事件和进展至肾衰竭风险,需积极干预",
G4,$eGFR\ 15 \sim <30\ mL/(min·1.73m^{2})$,"肾功能重度下降。为肾衰竭高风险期,需准备肾脏替代治疗(透析或移植)计划",
G5,$eGFR<15\ mL/(min·1.73m^{2})$,肾衰竭。通常需要肾脏替代治疗(透析或移植)以维持生命,
A分期(基于UACR),A1,$UACR<30\ mg/g (<3\ mg/mmol)$,正常至轻度白蛋白尿。提示肾小球损伤风险较低
A2,$UACR\ 30 \sim 300\ mg/g (3 \sim 30\ mg/mmol)$,"中度白蛋白尿。是早期肾脏损伤(尤其是肾小球损伤)的标志,也是心血管疾病的强力预测因子",
A3,$UACR>300\ mg/g (>30\ mg/mmol)$,"重度白蛋白尿。表明显著的肾小球损伤,是CKD进展和心血管事件的极高危因素",
