评估项目,检测方法,推荐等级,诊断标准,说明
颈动脉内膜中层厚度(IMT),血管超声CTA或MRA,基本推荐优化推荐,"颈动脉IMT增厚: IMT≥0.9 mm;颈动脉斑块: IMT≥1.5 mm, 或大于周围颈动脉IMT至少0.5 mm或50%, 可分为低回声、等回声及高回声斑块, 一般认为低回声及低回声为主混合回声斑块为易损斑块[42]","颈动脉、主动脉血管影像评估: 心脏超声胸骨上凹切面降主动脉测量易受探头频率、声窗条件影响清晰度; CTA成像分辨率高, 但需造影剂注射; MRA无需造影剂注射, 但耗时长"
主动脉内径,心脏超声、血管超声CTA或MRA,基本推荐优化推荐,"主动脉根部: 窦部内径男性正常值≤36 mm,女性≤34 mm(基于国内Eminca研究)[43];升主动脉: 男性正常值≤35 mm, 女性≤33 mm(基于国内Eminca研究)[43];升主动脉扩张[41]: 升主动脉内径>40 mm;升主动脉瘤[41]: 升主动脉内径>45 mm;腹主动脉瘤: 肾下主动脉内径>30 mm",
踝臂指数(ABI),双侧四肢ABI测定,基本推荐,ABI<0.9考虑存在外周动脉疾病,"ABI过高(如>1.4)则提示动脉钙化, 且结果无法排除外周动脉疾病"
脉搏波传导速度(PWV),cfPWV、baPWV,基本推荐,动脉硬化: cfPWV>10 m/s、baPWV>18 m/s,"计算公式为D/Δt, D为两个测量点之间动脉路径长度, Δt为脉搏波在两个测量点之间传播的时间差。cfPWV是测量大动脉僵硬度的金标准, baPWV在亚洲广泛使用,重复性好, 操作简单, 与cfPWV相关性良好"
血流介导的血管舒张功能(FMD),肱动脉FMD,优化推荐,"目前尚无统一标准, 不同研究显示正常人群肱动脉FMD通常在6.5%~7%以上[44-45]","FMD降低提示内皮功能障碍, 与心血管风险独立相关"
动态动脉硬化指数(AASI),动态血压监测,优化推荐,"目前尚无统一标准, 既往研究推荐年轻人群(20岁)正常值<0.5至老年人群(80岁)<0.7[46-47]","24 h动态血压衍生参数, 可用于评价动脉硬化程度"
