终点事件,ARB,ACEI,CCB
任何原因所致死亡,死亡风险降低 $19\%^{[51]}$,死亡风险降低 $13\%^{[51]}$,"没有降低风险 $^{[31,55,56]}$"
非致死心梗,没有降低风险 $^{[51]}$,心梗风险降低 $21\%^{[51]}$,"没有降低风险 $^{[31,55,56]}$"
非致死卒中,没有降低风险 $^{[51]}$,没有降低风险 $^{[51]}$,"卒中风险降低 $11\%^{[31,55,56]}$"
因心衰住院,心衰风险降低 $30\%^{[51]}$,心衰风险降低 $19\%^{[51]}$,"心衰风险增加 $32\%^{[31,55,56]}$"
ESKD,CKD患者发生ESKD比例降低 $23\%^{[53]}$,没有降低风险 $^{[54]}$,"没有降低风险 $^{[31,55,56]}$"
AKI,不增加AKI或高钾血症风险 $^{[31]}$,不增加AKI或高钾血症风险 $^{[31]}$,"不增加高钾血症风险 $^{[31,53]}$"
跌倒,不增加晕厥风险 $^{[31]}$,不增加晕厥风险 $^{[31]}$,无数据
其他,,增加咳嗽风险 $^{[51]}$,
